"GEO_ID","NAME","GEO_ID_F","NAICS2017","NAICS2017_LABEL","NAICS2017_F","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","ESTAB_F","PAYANN","PAYANN_F","PAYANN_N","PAYANN_N_F","PAYQTR1","PAYQTR1_F","PAYQTR1_N","PAYQTR1_N_F","EMP","EMP_F","EMP_N","EMP_N_F",
"0500000US01051","Elmore County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","6","null","560","null","J","J","138","null","J","J","20","null","H","H",
"0500000US01055","Etowah County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01067","Henry County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","88","null","J","J","20","null","J","J","2","null","J","J",
"0500000US01067","Henry County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","13","null","1098","null","G","G","237","null","G","G","45","null","H","H",
"0500000US01069","Houston County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","9","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01069","Houston County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","58","null","6151","null","G","G","1435","null","G","G","221","null","H","H",
"0500000US01073","Jefferson County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","40","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","15","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01073","Jefferson County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","10","null","942","null","G","G","199","null","G","G","46","null","H","H",
"0500000US01077","Lauderdale County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","6","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01077","Lauderdale County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01081","Lee County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","712","null","H","H","170","null","H","H","25","null","J","J",
"0500000US01081","Lee County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01083","Limestone County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","4","null","330","null","G","G","68","null","G","G","15","null","J","J",
"0500000US01083","Limestone County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","37","null","4883","null","G","G","1222","null","G","G","206","null","G","G",
"0500000US01089","Madison County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","21","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","11","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01089","Madison County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01095","Marshall County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","10","null","608","null","G","G","148","null","G","G","28","null","H","H",
"0500000US01095","Marshall County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","8","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01097","Mobile County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","38","null","3514","null","H","H","868","null","H","H","117","null","H","H",
"0500000US01097","Mobile County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","31","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01097","Mobile County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01101","Montgomery County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","32","null","2211","null","H","H","580","null","H","H","84","null","G","G",
"0500000US01101","Montgomery County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","27","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01101","Montgomery County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01103","Morgan County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","8","null","892","null","G","G","204","null","G","G","29","null","H","H",
"0500000US01103","Morgan County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01103","Morgan County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01109","Pike County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","348","null","G","G","87","null","H","H","21","null","G","G",
"0500000US01115","St. Clair County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","287","null","J","J","67","null","J","J","11","null","J","J",
"0500000US01115","St. Clair County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01117","Shelby County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","20","null","1680","null","G","G","405","null","G","G","60","null","J","J",
"0500000US01117","Shelby County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","16","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01117","Shelby County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01121","Talladega County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","353","null","J","J","87","null","J","J","10","null","J","J",
"0500000US01121","Talladega County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01123","Tallapoosa County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","4","null","393","null","H","H","97","null","H","H","13","null","G","G",
"0500000US01123","Tallapoosa County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01125","Tuscaloosa County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","16","null","1307","null","H","H","315","null","H","H","68","null","G","G",
"0500000US01125","Tuscaloosa County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","9","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01125","Tuscaloosa County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","6","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02020","Anchorage Municipality, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","37","null","15029","null","H","H","4009","null","J","J","230","null","H","H",
"0500000US02020","Anchorage Municipality, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","9","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02020","Anchorage Municipality, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","25","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02020","Anchorage Municipality, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02090","Fairbanks North Star Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","8","null","1279","null","H","H","324","null","H","H","54","null","G","G",
"0500000US02090","Fairbanks North Star Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02090","Fairbanks North Star Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02110","Juneau City and Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","1449","null","J","J","368","null","J","J","38","null","J","J",
"0500000US02110","Juneau City and Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02122","Kenai Peninsula Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","9","null","1043","null","H","H","288","null","H","H","35","null","H","H",
"0500000US02122","Kenai Peninsula Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","6","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02170","Matanuska-Susitna Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","11","null","3442","null","J","J","801","null","J","J","65","null","J","J",
"0500000US02170","Matanuska-Susitna Borough, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","8","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","4","null","509","null","H","H","136","null","J","J","16","null","J","J",
"0500000US04003","Cochise County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","7","null","461","null","G","G","133","null","H","H","19","null","J","J",
"0500000US04003","Cochise County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","6","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04005","Coconino County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","10","null","1932","null","H","H","508","null","H","H","72","null","J","J",
"0500000US04005","Coconino County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","6","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04007","Gila County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","316","null","J","J","76","null","J","J","9","null","J","J",
"0500000US04013","Maricopa County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","118","null","26467","null","G","G","5859","null","G","G","1006","null","G","G",
"0500000US04013","Maricopa County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","69","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04013","Maricopa County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","31","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04013","Maricopa County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","9","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04013","Maricopa County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","241","Establishments with 20 to 49 employees","2020","8","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04015","Mohave County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","349","null","G","G","81","null","G","G","17","null","J","J",
"0500000US04017","Navajo County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","339","null","G","G","79","null","G","G","17","null","J","J",
"0500000US04019","Pima County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","26","null","5296","null","H","H","1250","null","H","H","183","null","H","H",
"0500000US04019","Pima County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","15","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04019","Pima County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","7","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04019","Pima County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","241","Establishments with 20 to 49 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04021","Pinal County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","9","null","790","null","G","G","183","null","G","G","38","null","G","G",
"0500000US04021","Pinal County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04021","Pinal County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04025","Yavapai County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","12","null","3546","null","H","H","839","null","H","H","138","null","H","H",
"0500000US04025","Yavapai County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","5","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04025","Yavapai County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04025","Yavapai County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04027","Yuma County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","11","null","804","null","H","H","175","null","H","H","39","null","H","H",
"0500000US04027","Yuma County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","8","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US04027","Yuma County, Arizona","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05005","Baxter County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","11","null","1083","null","G","G","215","null","G","G","55","null","G","G",
"0500000US05005","Baxter County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05005","Baxter County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","7","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05007","Benton County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","24","null","3341","null","G","G","719","null","G","G","159","null","G","G",
"0500000US05007","Benton County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","11","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05007","Benton County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","7","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05007","Benton County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","230","Establishments with 10 to 19 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05009","Boone County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","6","null","823","null","G","G","167","null","G","G","33","null","J","J",
"0500000US05009","Boone County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05015","Carroll County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","6","null","549","null","G","G","118","null","G","G","24","null","G","G",
"0500000US05015","Carroll County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05015","Carroll County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05017","Chicot County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","4","null","192","null","H","H","48","null","H","H","8","null","J","J",
"0500000US05017","Chicot County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05019","Clark County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","313","null","H","H","72","null","H","H","22","null","G","G",
"0500000US05019","Clark County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05027","Columbia County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","72","null","H","H","17","null","J","J","3","null","J","J",
"0500000US05027","Columbia County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05029","Conway County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","8","null","1810","null","G","G","398","null","G","G","56","null","G","G",
"0500000US05029","Conway County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05035","Crittenden County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","6","null","391","null","G","G","92","null","G","G","24","null","G","G",
"0500000US05035","Crittenden County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05035","Crittenden County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05037","Cross County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","229","null","H","H","51","null","G","G","16","null","J","J",
"0500000US05041","Desha County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","215","null","H","H","55","null","H","H","8","null","J","J",
"0500000US05047","Franklin County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","7","null","570","null","H","H","129","null","J","J","39","null","H","H",
"0500000US05047","Franklin County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05047","Franklin County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05051","Garland County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","23","null","1746","null","G","G","421","null","G","G","102","null","G","G",
"0500000US05051","Garland County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","12","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05051","Garland County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","10","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05055","Greene County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","6","null","1262","null","G","G","245","null","G","G","41","null","H","H",
"0500000US05055","Greene County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05067","Jackson County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","954","null","J","J","184","null","J","J","26","null","G","G",
"0500000US05067","Jackson County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05069","Jefferson County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","18","null","555","null","G","G","116","null","G","G","35","null","G","G",
"0500000US05069","Jefferson County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","17","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US05089","Marion County, Arkansas","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","318","null","G","G","66","null","G","G","14","null","J","J",
